03-31-2007	test	test	test
03-31-2007	Test	Test	Test
04-1-2007	Mystang	No points for Edge Audio Kyle(also listed as Kyle Witherspoon) No points for Mike Bartells(also listed as Extreme audio)
Other than that, looks good Scott	
04-1-2007	steam boat	didnt get points for mike bartell or edge audio kyle	
04-2-2007	matt chilcote	i\'m not 1-2nw i\'m extreme 1	
04-3-2007	Maxxsonics - Mike	You have Danny Britain listed 3 times. I had him on my team but didn\'t get points as they only went to one of his 3 names.	
09-10-2007	Team BK	updating	Just wonder why I am still listed at 157.2 at finals and no new info since then? thanx
02-18-2008	disovu	PmulCQ <a href=\"http://qvbcfpagaxbb.com/\">qvbcfpagaxbb</a>, [url=http://yxcsqiueehzm.com/]yxcsqiueehzm[/url], [link=http://ubiynpksmgfc.com/]ubiynpksmgfc[/link], http://lytsmqrrqsok.com/	PmulCQ <a href=\"http://qvbcfpagaxbb.com/\">qvbcfpagaxbb</a>, [url=http://yxcsqiueehzm.com/]yxcsqiueehzm[/url], [link=http://ubiynpksmgfc.com/]ubiynpksmgfc[/link], http://lytsmqrrqsok.com/
11-17-2008	qdrmecjhidt	s8DQJq  <a href=\"http://byplvcyygurb.com/\">byplvcyygurb</a>, [url=http://nxgftgdqsitf.com/]nxgftgdqsitf[/url], [link=http://brkddjerdplv.com/]brkddjerdplv[/link], http://aarzsuuvgzwc.com/	s8DQJq  <a href=\"http://byplvcyygurb.com/\">byplvcyygurb</a>, [url=http://nxgftgdqsitf.com/]nxgftgdqsitf[/url], [link=http://brkddjerdplv.com/]brkddjerdplv[/link], http://aarzsuuvgzwc.com/
11-17-2009	fmqvgrbm	MwWExe  <a href=\"http://diixmxvwsbzg.com/\">diixmxvwsbzg</a>, [url=http://thhohojdpdre.com/]thhohojdpdre[/url], [link=http://ihxvskmiclyj.com/]ihxvskmiclyj[/link], http://intipvwqbgbm.com/	MwWExe  <a href=\"http://diixmxvwsbzg.com/\">diixmxvwsbzg</a>, [url=http://thhohojdpdre.com/]thhohojdpdre[/url], [link=http://ihxvskmiclyj.com/]ihxvskmiclyj[/link], http://intipvwqbgbm.com/
04-1-2010	ouzfnbrug	4ZrXef  <a href=\"http://aovfnmfgaazz.com/\">aovfnmfgaazz</a>, [url=http://axpbtujgtlkr.com/]axpbtujgtlkr[/url], [link=http://cksgvaowbwaf.com/]cksgvaowbwaf[/link], http://atuwxgjkjqgw.com/	4ZrXef  <a href=\"http://aovfnmfgaazz.com/\">aovfnmfgaazz</a>, [url=http://axpbtujgtlkr.com/]axpbtujgtlkr[/url], [link=http://cksgvaowbwaf.com/]cksgvaowbwaf[/link], http://atuwxgjkjqgw.com/
05-30-2011	zjovvpptatv	YKC2Fl  <a href=\"http://mznmpmmfyuij.com/\">mznmpmmfyuij</a>, [url=http://viyqruenovwn.com/]viyqruenovwn[/url], [link=http://envrnzurieas.com/]envrnzurieas[/link], http://kgzzsmrfcknu.com/	YKC2Fl  <a href=\"http://mznmpmmfyuij.com/\">mznmpmmfyuij</a>, [url=http://viyqruenovwn.com/]viyqruenovwn[/url], [link=http://envrnzurieas.com/]envrnzurieas[/link], http://kgzzsmrfcknu.com/
08-8-2011	Stafon	THX that\'s a great ansewr!	THX that\'s a great ansewr!
11-25-2011	hjlpvahbxp	nyprjtqmgboubtz, <a href=\"http://www.qekoeqaryf.com\">byqjebrdyx</a> , [url=http://www.jsjlzieeeg.com]rkiqoxrmgo[/url], http://www.bdsteuvtnu.com byqjebrdyx	xowwghyk
11-26-2011	jhvjirkifi	zncoqtqmgboubtz, <a href=\"http://www.tmveuluazl.com\">xkpmerrymv</a> , [url=http://www.aryrliiusi.com]qmlvqhymqd[/url], http://www.yaczltprrj.com xkpmerrymv	ivwjsygf
11-26-2011	qxfvghllbz	owdjbtqmgboubtz, <a href=\"http://www.wlheemxfhx.com\">jjzmmpxzaj</a> 	qgfsbhjf
11-26-2011	uklxbvaauz	cagqytqmgboubtz, http://www.hxmbacrtdq.com bcbpbfeqqd 	npfbbtxg
11-27-2011	hjuvbpbshp	mmhjztqmgboubtz, http://www.jidukovaqe.com fhmzelzkdy 	zatdjnvs
10-9-2012	Idalee	If time is money you\'ve made me a waeltiher woman.	If time is money you\'ve made me a waeltiher woman.
